species,longitude,latitude,el
cs,164.625,44.54166667,1
cs,164.5416667,44.54166667,1
cs,164.125,41.95833333,1
cs,164.2083333,41.95833333,1
cs,164.2083333,41.95833333,1
cs,158.875,44.04166667,1
cs,158.9583333,44.04166667,1
cs,161.9583333,42.79166667,1
cs,162.625,42.70833333,1
cs,162.5416667,42.875,1
cs,163.0416667,42.70833333,1
cs,157.7916667,43.125,1
cs,157.7916667,43.29166667,1
cs,157.875,43.375,1
cs,157.4583333,44.45833333,1
cs,157.5416667,44.54166667,1
cs,157.5416667,44.45833333,1
cs,158.375,43.70833333,1
cs,158.2916667,43.70833333,1
cs,161.4583333,42.45833333,1
cs,161.4583333,42.54166667,1
cs,161.2916667,42.54166667,1
cs,157.4583333,42.95833333,1
cs,157.2916667,43.20833333,1
cs,157.7083333,42.95833333,1
cs,157.7916667,42.95833333,1
cs,160.625,42.95833333,1
cs,160.5416667,43.04166667,1
cs,160.4583333,43.04166667,1
cs,160.375,43.04166667,1
cs,161.0416667,42.625,1
cs,163.375,42.45833333,1
cs,163.2916667,42.375,1
cs,163.2916667,42.45833333,1
cs,163.2083333,42.45833333,1
cs,160.0416667,43.29166667,1
cs,160.0416667,43.20833333,1
cs,160.0416667,43.125,1
cs,152.4583333,42.875,1
cs,152.4583333,42.79166667,1
cs,152.0416667,42.70833333,1
cs,152.125,42.70833333,1
cs,152.2083333,42.79166667,1
cs,152.5416667,42.79166667,1
cs,152.5416667,42.875,1
cs,152.625,42.625,1
cs,152.625,42.625,1
cs,152.625,42.625,1
cs,152.7916667,42.54166667,1
cs,156.9583333,43.20833333,1
cs,157.0416667,43.20833333,1
cs,151.7916667,42.20833333,1
cs,151.375,42.20833333,1
cs,151.375,42.125,1
cs,151.375,42.125,1
cs,151.2083333,42.125,1
cs,151.5416667,42.125,1
cs,151.625,42.125,1
cs,151.625,42.125,1
cs,147.7916667,40.04166667,1
cs,147.7083333,40.04166667,1
cs,147.125,39.79166667,1
cs,147.125,39.70833333,1
cs,147.5416667,39.29166667,1
cs,147.5416667,39.125,1
cs,147.625,39.125,1
cs,147.5416667,39.20833333,1
cs,147.375,39.20833333,1
cs,147.7916667,39.54166667,1
cs,147.7083333,39.54166667,1
cs,152.2916667,41.54166667,1
cs,152.875,41.625,1
cs,153.7083333,41.45833333,1
cs,153.7916667,41.45833333,1
cs,153.2916667,41.125,1
